Days,Values,Flags,Account
03,-50,PH,VM
06,3.5,F,VM
10,-9.82,F,VM
14,-204.62,U,VM
14,-289,R,VM
14,-20,O,VM
29,0.02,I,NF
29,-786,R,NF
27,2510,N,NF
14,-449.93,LP,NF
13,2521,N,NF
06,-29,I,NF
05,-13.33,F,NF
29,0.14,I,C1S
26,4.15,GM,C1S
26,-1025,M,C1S
25,-27.53,U,C1S
25,2.28,GM,C1S
25,197.51,GM,C1S
22,54.64,GM,C1S
21,31.22,U,C1S
19,489.8,M,C1S
18,4.15,GM,C1S
18,1.83,GM,C1S
17,1.84,GM,C1S
17,2.27,GM,C1S
13,3051.98,M,C1S
13,-36.56,GM,C1S
12,-50,M,C1S
11,-4.15,GM,C1S
08,-80,M,C1S
06,-1129,M,C1S
06,-62.08,CR,C1S
05,-26.08,M,C1S
05,-477.50,M,C1S
05,-25.19,M,C1S
05,-14.93,M,C1S
05,56.18,GM,C1S
05,83.20,GM,C1S
01,35,M,C1S
29,-2.99,S,C1C
29,-4.30,F,C1C
27,-21.83,MI,C1C
26,-21.50,GM,C1C
26,-3.10,S,C1C
25,-15.49,S,C1C
25,-11.71,M,C1C
25,-40.84,F,C1C
25,-5.91,F,C1C
25,-5.38,F,C1C
23,5.60,I,C1C
23,-60.20,MI,C1C
23,-5.38,F,C1C
22,-24.98,MI,C1C
21,-14.11,F,C1C
20,-41.44,F,C1C
19,-148.18,F,C1C
19,-17.10,MI,C1C
19,-0.75,MI,C1C
19,-0.30,MI,C1C
19,-0.15,MI,C1C
18,-40.43,F,C1C
18,-12.90,GM,C1C
18,-59.54,MI,C1C
18,-33.77,MI,C1C
18,-42.22,F,C1C
18,-18.49,F,C1C
18,-10,GM,C1C
18,-5.11,F,C1C
18,-11.82,F,C1C
16,6.86,I,C1C
16,-6,GM,C1C
16,-18,MI,C1C
16,-56.71,G,C1C
16,-1,F,C1C
16,-7.42,F,C1C
15,-16.13,F,C1C
14,-5,S,C1C
14,-24.17,F,C1C
14,-42.14,MI,C1C
13,-8.52,F,C1C
11,-32.25,GM,C1C
11,-48.75,F,C1C
11,-6.11,F,C1C
1,-11.12,F,C1C
11,-8.50,F,C1C
11,-37,F,C1C
11,-20.57,F,C1C
11,-13,F,C1C
11,-10,F,C1C
11,-67.57,F,C1C
09,-12.63,F,C1C
09,-6.13,SP,C1C
09,-105.55,SP,C1C
09,-23.70,F,C1C
09,-52.75,G,C1C
09,-46.23,GI,C1C
08,8.87,I,C1C
07,-62.68,F,C1C
07,-5.37,F,C1C
07,-18.92,F,C1C
07,-15.09,F,C1C
06,-160.89,GM,C1C
06,-13,F,C1C
05,-20.67,G,C1C
04,-26.64,F,C1C
04,-9.50,F,C1C
04,-28.35,F,C1C
04,-52.06,GI,C1C
04,-5.35,F,C1C
04,-12.62,F,C1C
02,-30,GM,C1C
02,-15.83,S,C1C
01,5.82,IN,C1C
30,-6.78,GM,AM
29,-39.70,GM,AM
29,-10.99,S,AM
29,-6.45,MI,AM
28,-21.87,F,AM
27,-9.55,F,AM
27,-11.20,T,AM
27,-5,S,AM
27,-55.66,G,AM
27,-39.26,MI,AM
27,-27.04,F,AM
26,-110.20,GI,AM
26,3.68,S,AM
25,-5.38,F,AM
25,-26.81,F,AM
25,-4,S,AM
24,-15.75,F,AM
23,-46.80,T,AM
23,-119.95,MI,AM
22,-1.44,GM,AM
22,-6.59,GM,AM
18,-120.36,MI,AM
17,16.32,S,AM
14,-1.75,GM,AM
14,-7.54,GM,AM
14,-110,OW,AM
13,-1.10,OW,AM
12,-21.22,OW,AM
11,-16.32,s,AM
08,-275.68,SP,AM
08,-19.34,TE,AM
07,-5,S,AM
05,-26.69,F,AM
04,-6.55,S,AM
03,-2.25,T,AM
