N,Navy,blue
CMC,CMC,firebrick
F,Food,orange
FN,Fun,mistyrose
G,Gas,springgreen
T,Travel,salmon
GM,Games,red
W,Wedding,silver
R,Rent,brown
U,Utilities,yellowgreen
IN,Internet,gold
PH,Cell phone,sienna
S,Subscriptions,blueviolet
CR,Car Expenses,coral
O,Other,crimson
MI,Military,pink
GI,Gifts,darkred
OW,Other wedding,grey
L,Loan,yellow
LP,Loan Payoff,olive
RT,Retirement,lime
CA,Cash,green
GY,Gym membership,darkgoldenrod
I,Interest,khaki
M,Masha,fuchsia
SP,Sports,darkblue
SV,Savings,tan
ME,Medical,bisque
TE,Tech/Work,violet
PT,Pets,rosybrown
ST,stocks,aquamarine
